Name|EthanA
Position|9,0.1,13
MapFile|saffron\trainstation.dat
Rotation|2.726499
RivalName|
Money|15988
Badges|0
Gender|Male
PlayTime|1,22,36,0
OT|0
Points|39
hasPokedex|1
hasPokegear|1
freeCamera|1
thirdPerson|0
skin|[POKEMON|S]151
location|Saffron City
battleAnimations|2
BoxAmount|10
LastRestPlace|blackthorn\center.dat
LastRestPlacePosition|7,0.1,6
DiagonalMovement|0
RepelSteps|0
LastSavePlace|saffron\trainstation.dat
LastSavePlacePosition|8,0.1,4
Difficulty|2
BattleStyle|0
saveCreated|Pre 0.21
LastPokemonPosition|9,0,12
DaycareSteps|1831
GameMode|Kolben
PokeFiles|route29.poke,route30.poke,routes\route45.poke,routes\route34.poke,route31.poke
VisitedMaps|barktown0.dat,barktown.dat,elmlab.dat,route29.dat,cherrygrove.dat,route30.dat,mrpokemonhouse.dat,cherrygrove_center.dat,blackthorn.dat,gyms\blackthorn_gym_1.dat,blackthorn\001.dat,blackthorn\center.dat,blackthorn\mart.dat,gyms\blackthorn_gym_2.dat,routes\route45.dat,goldenrod.dat,routes\route34.dat,routes\daycare.dat,goldenrod\trainstation.dat,violet.dat,violetroute31gate.dat,route31.dat,routes\route26.dat,routes\route26\1.dat,viridian\main.dat,viridian\trainerhouse\main.dat,viridian\trainerhouse\bf.dat,viridian\trainerhouse\arena.dat,saffron\main.dat,saffron\trainstation.dat
TempSurfSkin|[POKEMON|S]151
Surfing|0
BP|0
ShowModels|1
GTSStars|8
SandBoxMode|0
EarnedAchievements|
