Name|HeadAdmin
Position|49,0.1,6
MapFile|route29.dat
Rotation|0.9323879
RivalName|Silver
Money|244
Badges|0
Gender|Male
PlayTime|1,42,49,0
OT|0
Points|72
hasPokedex|1
hasPokegear|1
freeCamera|1
thirdPerson|0
skin|Ethan
location|Route 29
battleAnimations|2
BoxAmount|10
LastRestPlace|violet_center.dat
LastRestPlacePosition|7,0.1,6
DiagonalMovement|0
RepelSteps|0
LastSavePlace|route29.dat
LastSavePlacePosition|0,0,0
Difficulty|2
BattleStyle|0
saveCreated|Pre 0.21
LastPokemonPosition|48,0,6
DaycareSteps|1598
GameMode|Kolben
PokeFiles|route29.poke,route30.poke,route31.poke
VisitedMaps|barktown0.dat,barktown.dat,elmlab.dat,route29.dat,cherrygrove.dat,route30.dat,cherrygrove_center.dat,mrpokemonhouse.dat,violet.dat,violet_center.dat,violet_mart.dat,gyms\violet_gym.dat,route32.dat,violetroute31gate.dat,route31.dat
TempSurfSkin|Hilbert
Surfing|0
BP|0
ShowModels|1
GTSStars|8
SandBoxMode|0
EarnedAchievements|
